"sender name","rx snr","rssi"
"Mesh Solar","6","-86"
"Mesh Solar","5.5","-88"
"Mesh Solar","6.5","-89"
"Mesh Solar","5.25","-88"
"Mesh Solar","4.25","-89"
"Mesh Solar","5.25","-88"
"Mesh Solar","4.25","-87"
"Mesh Solar","5","-88"
"Mesh Solar","5.75","-85"
"Mesh Solar","5.75","-86"
