"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","hop limit","payload","rssi"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.2","3","2","-92"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","1.8","3","1","-95"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.5","3","3","-101"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.0","3","4","-95"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","-1.2","3","5","-92"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","1.8","3","6","-93"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","2.2","3","7","-106"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.8","3","8","-94"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.8","3","9","-93"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.5","3","0","-94"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.2","3","1abcdefghi","-94"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.0","3","2abcdefghi","-94"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","1.5","3","3abcdefghi","-97"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","2.5","3","4abcdefghi","-98"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","0.0","3","5abcdefghi","-98"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","5.0","3","6abcdefghi","-94"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","3.2","3","7abcdefghi","-94"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","6.2","3","8abcdefghi","-95"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","4.2","3","9abcdefghi","-94"
"2026-05-01","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.4207361","10.252459799999999","532","1.2","3","0abcdefghi","-95"
