"sender name","rx snr","rssi"
"Mesh Solar","5","-94"
"Mesh Solar","2.75","-99"
"Mesh Solar","2","-97"
"Mesh Solar","1.75","-98"
"Mesh Solar","0.75","-105"
"Mesh Solar","-16.75","-108"
"Mesh Solar","-2.5","-108"
"Mesh Solar","0.75","-107"
"Mesh Solar","3.25","-103"
"Mesh Solar","3.5","-102"
