"sender name","rx snr","rssi"
"Mesh Solar","3.75","-99"
"Mesh Solar","3.75","-100"
"Mesh Solar","-3","-104"
"Mesh Solar","-2","-106"
"Mesh Solar","1.5","-102"
"Mesh Solar","-3.25","-106"
"Mesh Solar","1","-104"
"Mesh Solar","0.5","-104"
"Mesh Solar","0.5","-103"
"Mesh Solar","-1.5","-102"
