"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","-2.0","718","1","1","-108"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","0.8","718","1","2","-106"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","1.2","718","1","3","-104"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","1.2","718","1","5","-105"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","0.8","718","1","6","-107"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","-2.2","718","1","4","-98"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","3.5","718","1","7","-99"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","3.2","718","1","8","-100"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","4.8","718","1","9","-100"
"2026-05-03","2666525604","Meshtastic f3a4","63.3948633","10.4883963","63.3982295","10.476096","253","4.0","718","1","0","-100"
