timestamp,size_bytes,seq,send_ms,channel,dest

2026-02-16T15:41:43,40,1,1771252902817,0,
2026-02-16T15:41:45,40,2,1771252904821,0,
2026-02-16T15:41:47,40,3,1771252906824,0,
2026-02-16T15:41:49,40,4,1771252908826,0,
2026-02-16T15:41:51,40,5,1771252910829,0,
2026-02-16T15:41:53,40,6,1771252912832,0,
2026-02-16T15:41:55,40,7,1771252914835,0,
2026-02-16T15:41:57,40,8,1771252916838,0,
2026-02-16T15:41:59,40,9,1771252918841,0,
2026-02-16T15:42:01,40,10,1771252920843,0,
2026-02-16T15:42:03,45,11,1771252922848,0,
2026-02-16T15:42:05,45,12,1771252924852,0,
2026-02-16T15:42:07,45,13,1771252926855,0,
2026-02-16T15:42:09,45,14,1771252928858,0,
2026-02-16T15:42:11,45,15,1771252930860,0,
2026-02-16T15:42:13,45,16,1771252932863,0,
2026-02-16T15:42:15,45,17,1771252934865,0,
2026-02-16T15:42:17,45,18,1771252936867,0,
2026-02-16T15:42:19,45,19,1771252938870,0,
2026-02-16T15:42:21,45,20,1771252940873,0,
2026-02-16T15:42:23,50,21,1771252942876,0,
2026-02-16T15:42:25,50,22,1771252944879,0,
2026-02-16T15:42:27,50,23,1771252946881,0,
2026-02-16T15:42:29,50,24,1771252948885,0,
2026-02-16T15:42:31,50,25,1771252950887,0,
2026-02-16T15:42:33,50,26,1771252952891,0,
2026-02-16T15:42:35,50,27,1771252954893,0,
2026-02-16T15:42:37,50,28,1771252956895,0,
2026-02-16T15:42:39,50,29,1771252958897,0,
2026-02-16T15:42:41,50,30,1771252960900,0,
2026-02-16T15:42:43,55,31,1771252962903,0,
2026-02-16T15:42:45,55,32,1771252964906,0,
2026-02-16T15:42:47,55,33,1771252966909,0,
2026-02-16T15:42:49,55,34,1771252968911,0,
2026-02-16T15:42:51,55,35,1771252970921,0,
2026-02-16T15:42:53,55,36,1771252972923,0,
2026-02-16T15:42:55,55,37,1771252974925,0,
2026-02-16T15:42:57,55,38,1771252976928,0,
2026-02-16T15:42:59,55,39,1771252978930,0,
2026-02-16T15:43:01,55,40,1771252980932,0,
2026-02-16T15:43:03,60,41,1771252982935,0,
2026-02-16T15:43:05,60,42,1771252984939,0,
2026-02-16T15:43:07,60,43,1771252986942,0,
2026-02-16T15:43:09,60,44,1771252988944,0,
2026-02-16T15:43:11,60,45,1771252990946,0,
2026-02-16T15:43:13,60,46,1771252992949,0,
2026-02-16T15:43:15,60,47,1771252994952,0,
2026-02-16T15:43:17,60,48,1771252996954,0,
2026-02-16T15:43:19,60,49,1771252998957,0,
2026-02-16T15:43:21,60,50,1771253000959,0,
2026-02-16T15:43:23,65,51,1771253002961,0,
2026-02-16T15:43:25,65,52,1771253004964,0,
2026-02-16T15:43:27,65,53,1771253006966,0,
2026-02-16T15:43:29,65,54,1771253008969,0,
