"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-11.0","792","3","1","-118"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-14.8","792","3","2","-120"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-10.8","792","3","3","-120"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-11.5","792","3","4","-119"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-10.8","792","3","5","-118"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-9.5","792","3","6","-118"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-10.8","792","3","7","-117"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-14.5","792","3","8","-115"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-14.1","792","3","9","-115"
"2026-05-03","363634937","Meshtastic a0f9","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-9.5","792","3","0","-118"
