"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-3.5","792","3","1","-113"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-4.0","792","3","2","-113"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-5.0","792","3","3","-112"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-4.2","792","3","4","-114"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-1.2","792","3","5","-109"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-3.5","792","3","6","-110"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-2.5","792","3","7","-109"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-2.5","792","3","8","-110"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-3.0","792","3","9","-110"
"2026-05-03","2666525604","Meshtastic f3a4","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-4.8","792","3","0","-111"
