"date","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload","rssi"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-6.5","792","3","1","-111"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-3.5","792","3","2","-112"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-7.8","792","3","3","-115"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-8.2","792","3","4","-111"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-7.5","792","3","5","-114"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-7.5","792","3","6","-115"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-8.5","792","3","7","-116"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-8.8","792","3","8","-112"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-10.0","792","3","9","-118"
"2026-05-03","3126340924","Meshtastic 2d3c","63.394835","10.4875866","63.397246599999995","10.472629999999999","0","-4.8","792","3","0","-113"
